CAD_U|CABEU|HLT406|AIQ|20120705074748|BEU-30|||//7/20/2012 12:28:53 AM
CAD_U|CACDF|T80|AIQ|20120712132103|HAAB|||//7/20/2012 12:28:54 AM
CAD_U|CACDF|T80|AIQ|20120712132103|HAAB|||//7/20/2012 12:28:54 AM
CAD_U|CACDF|T80|AIQ|20120712132103|HAAB|||//7/20/2012 12:28:54 AM
CAD_U|CACDF|T81|AIQ|20120710120117|HAAB|||//7/20/2012 12:28:55 AM
CAD_U|CACDF|T81|AIQ|20120710120117|HAAB|||//7/20/2012 12:28:56 AM
CAD_U|CACDF|T81|AIQ|20120710120117|HAAB|||//7/20/2012 12:28:56 AM
CAD_U|CAFKU|MIR1|AIQ|20120708233233|FKU-2|||//7/20/2012 12:28:57 AM
CAD_U|CAFKU|MIR1|AIQ|20120708233233|FKU-2|||//7/20/2012 12:28:57 AM
CAD_U|CAFKU|MIR1|AIQ|20120708233233|FKU-2|||//7/20/2012 12:28:57 AM
CAD_U|CAFKU|MIR2|AIQ|20120719155723|FKU-2|||//7/20/2012 12:28:58 AM
CAD_U|CAFKU|MIR2|AIQ|20120719155723|FKU-2|||//7/20/2012 12:28:58 AM
CAD_U|CAFKU|MIR2|AIQ|20120719155723|FKU-2|||//7/20/2012 12:28:58 AM
CAD_U|CAFKU|MIR3|AIQ|20120709081713|FKU-1A|||//7/20/2012 12:28:59 AM
CAD_U|CAFKU|MIR3|AIQ|20120709081713|FKU-1A|||//7/20/2012 12:28:59 AM
CAD_U|CAFKU|MIR3|AIQ|20120709081713|FKU-1A|||//7/20/2012 12:28:59 AM
CAD_U|CAFKU|MIR4|AIQ|20120719155724|FKU-2|||//7/20/2012 12:29:00 AM
CAD_U|CAFKU|MIR4|AIQ|20120719155724|FKU-2|||//7/20/2012 12:29:00 AM
CAD_U|CAFKU|MIR4|AIQ|20120719155724|FKU-2|||//7/20/2012 12:29:00 AM
CAD_U|CACDF|C406|AIQ|20120704103916|BVHB|||//7/20/2012 12:57:02 AM
CAD_U|CACDF|C406|AIQ|20120704103916|BVHB|||//7/20/2012 12:57:02 AM
CAD_U|CACDF|C406|AIQ|20120704103916|BVHB|||//7/20/2012 12:57:02 AM
CAD_U|CAFKU|D4340|AIQ|20120521154704|FKU-1A|||//7/20/2012 12:57:03 AM
CAD_U|CAFKU|D4340|AIQ|20120521154704|FKU-1A|||//7/20/2012 12:57:03 AM
