CAD_U|CAPSM|E63|ONS|20130326235027|A-32L|13002548|MED|CASLU2013002239//3/27/2013 12:10:31 AM
CAD_U|CABEU|GAB1|AIQ|20130325071134|BEU-30|||//3/27/2013 12:28:38 AM
CAD_U|CABEU|GAB2|AIQ|20130325104356|BEU-30|||//3/27/2013 12:28:39 AM
CAD_U|CABEU|GAB2|AIQ|20130325104356|BEU-30|||//3/27/2013 12:28:39 AM
CAD_U|CABEU|GAB2|AIQ|20130325104356|BEU-30|||//3/27/2013 12:28:39 AM
CAD_U|CABEU|GAB3|AIQ|20130325071434|BEU-30|||//3/27/2013 12:28:40 AM
CAD_U|CABEU|GAB3|AIQ|20130325071434|BEU-30|||//3/27/2013 12:28:40 AM
CAD_U|CABEU|GAB3|AIQ|20130325071434|BEU-30|||//3/27/2013 12:28:40 AM
CAD_U|CABEU|GAB4|AIQ|20130325131457|BEU-30|||//3/27/2013 12:28:41 AM
CAD_U|CABEU|GAB4|AIQ|20130325131457|BEU-30|||//3/27/2013 12:28:41 AM
CAD_U|CABEU|GAB4|AIQ|20130325131457|BEU-30|||//3/27/2013 12:28:41 AM
CAD_U|CABEU|GAB5|AIQ|20130322070724|BEU-30|||//3/27/2013 12:28:42 AM
CAD_U|CABEU|GAB5|AIQ|20130322070724|BEU-30|||//3/27/2013 12:28:42 AM
CAD_U|CABEU|GAB5|AIQ|20130322070724|BEU-30|||//3/27/2013 12:28:42 AM
CAD_U|CABEU|GAB6|AIQ|20130325071634|BEU-30|||//3/27/2013 12:28:43 AM
CAD_U|CABEU|GAB6|AIQ|20130325071634|BEU-30|||//3/27/2013 12:28:43 AM
CAD_U|CABEU|GAB6|AIQ|20130325071634|BEU-30|||//3/27/2013 12:28:43 AM
CAD_U|CACDF|T80|AIQ|20130325113251|HAAB|||//3/27/2013 12:28:44 AM
CAD_U|CACDF|T80|AIQ|20130325113251|HAAB|||//3/27/2013 12:28:44 AM
CAD_U|CACDF|T81|AIQ|20130325113252|HAAB|||//3/27/2013 12:28:46 AM
CAD_U|CACDF|T81|AIQ|20130325113252|HAAB|||//3/27/2013 12:28:46 AM
CAD_U|CAFKU|E4383|AIQ|20130325105552|FKU-1A|||//3/27/2013 12:28:47 AM
